ID,titulacao,tipo_vinculo,dat_admissao,tempo_de_casa,cargo,regime_trabalho_mec,horas_totais,qtd_disciplina,qtd_alunos,horas_disciplina,horas_atv_dedicacao,nota_prof
1,Especialista        ,Aulista,01/08/2002,16,PROF.  ASSISTENTE II,Regime de Tempo Parcial,18.67,4,119,16,0,4.43
2,Mestre              ,Aulista,01/08/2007,11,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,17.33,3,121,10,5.67,3.98
3,Doutor              ,Aulista,03/02/2003,16,PROF. ADJUNTO IV,Regime de Tempo Parcial,15.67,3,99,18,4,4.49
4,Doutor              ,Regime,01/04/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,41,13,24.48,4.1
5,Especialista        ,Aulista,01/02/2002,17,PROF.  ASSISTENTE II,Regime de Tempo Integral,40,2,63,24,12,4.74
6,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,10.5,3,110,9,0,4.6
7,Doutor              ,Aulista,01/02/2002,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,8,259,21,6.17,4.71
8,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,9.33,2,76,8,0,3.6
9,Doutor              ,Aulista,01/03/2001,18,PROF. ADJUNTO IV,Horista,18.67,5,216,44,0,3.3
10,Mestre              ,Aulista,07/02/2008,11,PROF.  ASSISTENTE IV,Horista,21.17,2,168,16,2.5,3.83
11,Especialista        ,Aulista,01/02/2002,17,PROF.  ASSISTENTE II,Regime de Tempo Parcial,19.33,3,37,8,10,3.24
12,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,11.67,3,97,10,0,4.4
13,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,11.67,3,143,18,0,2.31
14,Doutor              ,Regime,03/02/2003,16,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,59,8,30.67,4.53
15,Doutor              ,Aulista,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,10,231,21,10.83,4.46
16,Especialista        ,Aulista,03/02/2003,16,PROF.  ASSISTENTE II,Regime de Tempo Parcial,23.17,9,110,18,2.17,4.66
17,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,14,3,197,28,0,4.48
18,Mestre              ,Aulista,01/08/2006,12,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,150,17,20.17,4.74
19,Mestre              ,Aulista,06/02/2007,12,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,319,28,16.67,4.51
